%time,field.name0,field.name1,field.name2,field.pose0.position.x,field.pose0.position.y,field.pose0.position.z,field.pose0.orientation.x,field.pose0.orientation.y,field.pose0.orientation.z,field.pose0.orientation.w,field.pose1.position.x,field.pose1.position.y,field.pose1.position.z,field.pose1.orientation.x,field.pose1.orientation.y,field.pose1.orientation.z,field.pose1.orientation.w,field.pose2.position.x,field.pose2.position.y,field.pose2.position.z,field.pose2.orientation.x,field.pose2.orientation.y,field.pose2.orientation.z,field.pose2.orientation.w,field.twist0.linear.x,field.twist0.linear.y,field.twist0.linear.z,field.twist0.angular.x,field.twist0.angular.y,field.twist0.angular.z,field.twist1.linear.x,field.twist1.linear.y,field.twist1.linear.z,field.twist1.angular.x,field.twist1.angular.y,field.twist1.angular.z,field.twist2.linear.x,field.twist2.linear.y,field.twist2.linear.z,field.twist2.angular.x,field.twist2.angular.y,field.twist2.angular.z
257490000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.103373965611409,4.256127754213613,0.19215124239414363,0.0002810759975968558,7.316215861977225e-06,0.26043796367127775,-0.9654905426888005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011284396675175085,-0.11297588671277126,-0.018349879960922872,-0.06855816256081994,0.01931117216218006,0.40087124018436116
257500000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.103638216065919,4.25503244024224,0.19227796287815507,1.957510839514533e-05,3.300551660943318e-06,0.2587731386882799,-0.9659381255025281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012815902295877257,-0.11016344798809784,0.0038839415169668956,0.015440985329812036,0.002019227036590068,0.3842843489087361
257510000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.103804415455822,4.25388826517447,0.19227091103680144,8.433021072354988e-05,3.8314105645872306e-05,0.2569352820134662,-0.9664286069219523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01655297001175867,-0.11449528857114302,-0.0007210020529471189,-0.014416424181227681,-0.003396717569825754,0.38054680386345413
257520000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.103985646079835,4.252775292831458,0.1922746449930491,2.2578942298704915e-05,-7.624863043320613e-06,0.25509156376306175,-0.9669169010462939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018091665977364012,-0.11134909891776329,0.00037795452837021933,0.014286280240311517,0.005740668385992905,0.38146482406468607
257530000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.104188782451801,4.25160447284352,0.19228449782253138,2.872202875874584e-05,3.3762133511054016e-06,0.25321661972930787,-0.9674096043850865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02028270272716673,-0.11713427277021912,0.000986947439008579,-0.0017481142974739214,-0.001809259745452944,0.3877257950005638
257540000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.104414570864749,4.2504477866429475,0.1922948471182166,7.572127439330936e-05,4.7091219897248624e-05,0.251284113383279,-0.9679133672028117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022823632335395045,-0.11624836083951352,0.0005331378582459085,-0.010256442093818952,-0.00462798569625819,0.3962626665792762
257550000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.104646932340279,4.249307531440697,0.19231847892062878,4.577335732539136e-05,5.754831421894946e-05,0.2493402288148076,-0.968415946217105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02323383914692971,-0.11418269027489068,0.00043283249984918436,0.008720224449520333,0.002916566149580693,0.39665859013141047
257560000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.104891528413104,4.2481656682490065,0.192338397634438,5.12768723306226e-05,8.859021973262229e-05,0.2473776787251989,-0.9689191264450236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024875379023787596,-0.11434476154860321,-0.0007255456759900619,0.0019380107233962105,0.0035161593509339057,0.39788988748704923
257570000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.1051445001798985,4.247022812749227,0.19235706142709674,5.998434822858264e-05,0.00011789391409820734,0.24540877176925383,-0.9694196806551892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026811264088605766,-0.11426265738513303,-0.0011735601224818078,0.002212920886068549,0.004480574672732919,0.3960869622421976
257580000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.105409018956234,4.24587624578594,0.19237999326027896,3.9961519202825026e-05,0.00012818666086611858,0.24344764079552444,-0.9699140313256376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028967008582553636,-0.11468375087366478,-0.0016763106218680472,0.00322549384966381,0.006079190666283933,0.3930644030315154
257590000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.105692383487373,4.244722453529066,0.19240290581644537,6.370240137715981e-06,0.00012693672188032675,0.24150264475276909,-0.9704001527328335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031659739630313405,-0.11591454030304313,-0.002961367173815432,-0.009375458820614163,0.004682813430443569,0.3926293698788626
257600000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.106005380859613,4.243557666827534,0.19242635396451974,3.846820493584185e-06,0.00014835990232463112,0.23955834398853984,-0.9708819587364932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03462992318316119,-0.1171472202733964,-0.003851974121825307,-0.020509082825652083,0.0015073823606607424,0.39190739970776495
257610000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.106244038532243,4.242361959745342,0.1923477806029854,-6.976753094593797e-05,0.0002927187893193713,0.23760433871998615,-0.9713619756144669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03058950655183027,-0.12017801267607862,-0.012523739434784227,-0.017870656897042484,-0.023768888870994407,0.38896500003686985
257620000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.106661035433562,4.241268136123287,0.1924462122776934,-9.725001724165226e-05,0.00016191801277858837,0.23586723106260188,-0.9717852713618644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05336478108651352,-0.11377726408784411,0.0010348320879393028,-0.011056563425945772,0.019992307165297388,0.3580725660559627
257630000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.107055929374033,4.240148289715667,0.19246964536834382,-0.00025165110066998134,7.771301895527174e-05,0.23415828328223842,-0.9721984514504871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053362556415810634,-0.11427706563080417,-0.0037132521210976924,-0.004307452827087346,0.013458119203326457,0.34477157516475854
257640000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.107434087011668,4.239101266171278,0.19250876373131412,-0.0005236695862265421,-0.00010554239130379466,0.2326321713058162,-0.9725646443833487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04804695934550929,-0.10829990911307608,-0.004107361958979835,0.029405777140821883,0.024514324763517108,0.29628627942839325
257650000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.10775374982878,4.238032517098863,0.19255933528889507,-0.00039646694114324634,8.380475986354353e-05,0.2311036875215987,-0.9729290423276746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03942715756541919,-0.10928548016976489,-0.0061825238019467856,-0.04934302591380606,-0.0010799709998804002,0.29937047089564206
257650000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.108059666945174,4.237101956631099,0.19263626702620015,-0.0004773732296297024,9.550144543044212e-05,0.22993862776147897,-0.9732050094699687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03584717434840569,-0.09949323695970964,-0.005427970896316092,-0.016429113375174137,0.006242007768841795,0.2497071022322965
257660000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.108371748413648,4.236126839146034,0.1925566213506705,-0.0004771925862506866,0.0003513989565707328,0.22864995565967972,-0.973508524144928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03506770225241282,-0.09958002345711638,-0.014585273291715677,-0.03241019946598735,-0.0291962068831698,0.25240553941186483
257680000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.108631004093091,4.235456967923139,0.19268449466453605,-0.0005603521824381863,0.0001606652733041681,0.2281335476339204,-0.9736296753057927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029262179668198312,-0.07629935327473827,-0.0015901520813675024,-0.009783953662777532,0.02679365428635488,0.1489205254020879
257690000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.108902666280063,4.23483358616149,0.19269819100212338,-0.0008102145741519909,-7.82750203677949e-05,0.22770977204895446,-0.9737287081825091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029314861072203872,-0.06595055238631226,-0.004244317868878835,0.033501428645498696,0.03646741515190188,0.09358132906598618
257700000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.109209732330018,4.234217216526795,0.19265962487995741,-0.0005124834366628478,9.609137044352099e-05,0.2273007375058358,-0.9738244723031347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0304586793879041,-0.059794825674194425,-0.004121214630886141,-0.03349079318457707,-0.003323119415854541,0.07040192466502257
257710000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.109534547855321,4.233623350917169,0.1924866938341969,-0.00037028623567386313,0.00028187030082884825,0.22696060095384962,-0.9739038294677276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03248173104381459,-0.05938796015384743,-0.0172933708191744,-0.03615469749548322,-0.029753858420436066,0.0698324771264468
257720000000,ground_plane,lar_ufba_room,husky,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.109749180741281,4.233205648937109,0.19252228042352398,-0.0003318412053920128,7.926279562549889e-05,0.22719041628304157,-0.9738502956553239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023714341094481454,-0.038653129681770745,-0.00044958425595015413,-0.004786309967326216,0.027418609764556658,-0.025565141800989784
